     q_A^-1             I 
  5.804723e+00    1.375300e+00
  5.817485e+00    1.363121e+00
  5.830246e+00    1.319916e+00
  5.843008e+00    1.219772e+00
  5.855770e+00    1.358016e+00
  5.868531e+00    1.275657e+00
  5.881293e+00    1.287950e+00
  5.894055e+00    1.357130e+00
  5.906816e+00    1.367335e+00
  5.919578e+00    1.228932e+00
  5.932340e+00    1.269100e+00
  5.945101e+00    1.340173e+00
  5.957863e+00    1.412304e+00
  5.970625e+00    1.326360e+00
  5.983386e+00    2.393958e+00
  5.996148e+00    1.319611e+00
  6.008910e+00    1.304835e+00
  6.021671e+00    1.305974e+00
  6.034433e+00    1.258772e+00
  6.047195e+00    1.395564e+00
  6.059956e+00    1.644058e+00
  6.072718e+00    1.488098e+00
  6.085479e+00    1.606811e+00
  6.098241e+00    1.570593e+00
  6.111003e+00    1.446937e+00
  6.123764e+00    1.465614e+00
  6.136526e+00    1.498581e+00
  6.149288e+00    1.251709e+00
  6.162049e+00    1.171719e+00
  6.174811e+00    1.236659e+00
  6.187573e+00    1.156441e+00
  6.200334e+00    1.220389e+00
  6.213096e+00    1.454232e+00
  6.225858e+00    1.142471e+00
  6.238619e+00    1.126779e+00
  6.251381e+00    1.181453e+00
  6.264143e+00    1.079871e+00
  6.276904e+00    1.256327e+00
  6.289666e+00    1.380844e+00
  6.302428e+00    9.637896e-01
  6.315189e+00    9.587758e-01
  6.327951e+00    1.102970e+00
  6.340713e+00    6.442313e-01
  6.353474e+00    1.278263e+00
  6.366236e+00    2.151596e+00
  6.378998e+00    1.500596e+00
